benchmark_name,scale,implementation,run_index,wall_clock_seconds,peak_memory_mb,memory_source,exit_status,notes,run_timestamp
pass0_baseline,small,pandas,1,10.434,840.4,psutil_rss,0,,2026-05-19T19:34:20.174698+00:00
pass0_baseline,small,pandas,2,10.052,836.8,psutil_rss,0,,2026-05-19T19:34:30.227949+00:00
pass0_baseline,small,pandas,3,10.251,842.1,psutil_rss,0,,2026-05-19T19:34:40.479917+00:00
pass0_baseline,small,pyspark,1,34.333,917.6,docker_stats_rss,0,,2026-05-19T19:35:49.552729+00:00
pass0_baseline,small,pyspark,2,40.672,940.9,docker_stats_rss,0,,2026-05-19T19:36:30.226251+00:00
pass0_baseline,small,pyspark,3,40.134,906.9,docker_stats_rss,0,,2026-05-19T19:37:10.366491+00:00
pass0_baseline,medium,pandas,1,79.185,858.6,psutil_rss,0,,2026-05-19T19:40:04.157360+00:00
pass0_baseline,medium,pandas,2,70.930,891.3,psutil_rss,0,,2026-05-19T19:41:15.094981+00:00
pass0_baseline,medium,pandas,3,71.462,886.7,psutil_rss,0,,2026-05-19T19:42:26.566301+00:00
pass0_baseline,medium,pyspark,1,98.170,895.4,docker_stats_rss,0,,2026-05-19T19:45:56.672349+00:00
pass0_baseline,medium,pyspark,2,121.524,889.8,docker_stats_rss,0,,2026-05-19T19:47:58.197948+00:00
pass0_baseline,medium,pyspark,3,91.755,923.7,docker_stats_rss,0,,2026-05-19T19:49:29.965605+00:00
pass0_baseline,large,pandas,1,201.949,1125.2,psutil_rss,0,,2026-05-19T19:56:22.099408+00:00
pass0_baseline,large,pandas,2,193.857,1107.0,psutil_rss,0,,2026-05-19T19:59:36.074250+00:00
pass0_baseline,large,pandas,3,194.695,1118.9,psutil_rss,0,,2026-05-19T20:02:50.797355+00:00
pass0_baseline,large,pyspark,1,211.732,912.1,docker_stats_rss,0,,2026-05-19T20:10:05.724359+00:00
pass0_baseline,large,pyspark,2,168.181,916.4,docker_stats_rss,0,,2026-05-19T20:12:53.988620+00:00
pass0_baseline,large,pyspark,3,321.092,924.3,docker_stats_rss,0,,2026-05-19T20:18:15.157070+00:00
